field.tree.health.condition,latitude,longitude
Good,47.3153616813,-122.5336206734
Good,47.3154780424,-122.5336547167
Good,47.3156993047,-122.5341835575
Good,47.3157090945,-122.5340524083
Good,47.3157430037,-122.5341226921
Good,47.316134627,-122.5343065174
Good,47.3159893721,-122.5346226732
Good,47.316226006,-122.5344248502
Good,47.3162035198,-122.5346369485
Good,47.3162661971,-122.5347138734
Good,47.3162739492,-122.5357050859
Good,47.3164703266,-122.5360186346
Good,47.3165181626,-122.5363790531
Good,47.3164616951,-122.536445684
Good,47.3165707935,-122.5359082591
Good,47.316250144,-122.5369298487
Good,47.3161865779,-122.5362691461
Good,47.3164675855,-122.5364446651
Good,47.3156303418,-122.5367954374
Good,47.3160804019,-122.536616864
Good,47.3161074647,-122.5369362643
Good,47.3157468885,-122.5368937004
Good,47.316010633,-122.5368249428
Good,47.3162579183,-122.5369651735
Good,47.3161397206,-122.5368896447
Good,47.3154704224,-122.537236786
Good,47.3158289894,-122.5371948209
Good,47.3154179251,-122.539039899
Good,47.3158856259,-122.5394639873
Good,47.3158537928,-122.5395536005
Good,47.3155737105,-122.5381482723
Good,47.3169636781,-122.5405948161
Good,47.3167138082,-122.5402607834
Good,47.3161707601,-122.5397048648
Good,47.3171627236,-122.5405638996
Good,47.3172786593,-122.5404902402
Good,47.3174060365,-122.5409883978
Good,47.3178135976,-122.5416846981
Good,47.317549018,-122.541253586
Good,47.3171502075,-122.5407087438
Good,47.3044855366,-122.516393184
Good,47.3044581682,-122.5160347317
Good,47.3030918968,-122.5189463263
Good,47.3029008916,-122.519013757
Good,47.3028686353,-122.5190954967
Good,47.3027026731,-122.5191580705
Good,47.3030083006,-122.5191344347
Good,47.3027822023,-122.5190405432
Good,47.302606129,-122.5191549229
Good,47.3033565603,-122.5190877073
Good,47.3032843236,-122.5190990249
Good,47.3034675772,-122.5189638605
Good,47.3035462852,-122.5190999172
Good,47.304804944,-122.5162317332
Good,47.3034190662,-122.5180656961
Good,47.3035550959,-122.5190467616
Good,47.3047994725,-122.516102544
Good,47.3034953253,-122.5181855155
Good,47.3046833959,-122.5162987871
Good,47.3107446128,-122.5335898475
Good,47.3110098184,-122.5343789706
Good,47.3120493884,-122.5359562472
Good,47.3123198122,-122.5363895853
Good,47.3120015171,-122.5363092272
Good,47.312585318000004,-122.5381638495
Good,47.3133680093,-122.5391155724
Good,47.3132194411,-122.5385007633
Good,47.313248028,-122.5391197874
Good,47.3131770009,-122.5388478399
Good,47.312823283,-122.5378976126
Good,47.3130577324,-122.5390681759
Good,47.3133666083,-122.5394570582
Good,47.3136514947,-122.5393858417
Good,47.313386137,-122.5394076015
Good,47.3138010831,-122.5399228549
Good,47.3137804063,-122.5398686421
Good,47.3141070258,-122.5404819553
Good,47.3135318137,-122.5404393458
Good,47.3140934383,-122.5401919042
Good,47.3139813521,-122.5409242189
Good,47.3142411625,-122.5407512136
Good,47.3145441958,-122.5416428251
Good,47.3148361695,-122.5422413599
Good,47.3146214124,-122.5414732829
Good,47.3144921684,-122.5416508607
Good,47.3151096815,-122.5425316036
Good,47.3149159397,-122.542173998
Good,47.3054267591,-122.5164264567
Good,47.3053032348,-122.5164667767
Good,47.3053328838,-122.5163848379
Good,47.3145305436,-122.5415806199
Good,47.3149188633,-122.5423629417
Good,47.3094692953,-122.5335204002
Good,47.3097276765,-122.5337292221
Good,47.3097672072,-122.533616004
Good,47.3097539482,-122.5336515403
Good,47.3098306922,-122.5336177873
Good,47.3097812279,-122.5336934049
Good,47.3104689063,-122.5357508248
Good,47.3098820337,-122.5365781353
Good,47.3094780488,-122.5367787817
Good,47.3094174051,-122.536589168
Good,47.3094702065,-122.5367761395
Good,47.3093882119,-122.5371047006
Good,47.309546876,-122.5364358363
Good,47.3092366103,-122.5370672231
Good,47.3089509269,-122.5365349332
Good,47.3092018268,-122.5367915243
Good,47.3092714654,-122.5368871237
Good,47.3088516762,-122.5367327566
Good,47.3090586964,-122.536614428
Good,47.3087073205,-122.5363216984
Good,47.3093622418,-122.5367228907
Good,47.3085814078,-122.5362875029
Good,47.3086386047,-122.536353662
Good,47.3090911645,-122.5371847084
Good,47.3097213732,-122.5366103009
Good,47.309451539,-122.5365009608
Good,47.3086838704,-122.5366386516
Good,47.3093473149,-122.5339435481
Good,47.3093530967,-122.5341865354
Good,47.3095410954,-122.5340167599
Good,47.3094912098,-122.5340351941
Good,47.3082295777,-122.5347022675
Good,47.3092847731,-122.5341902858
Good,47.3079920235,-122.535364703
Good,47.3095370541,-122.5340653793
Good,47.3079703661,-122.5348499088
Good,47.3081542049,-122.5351734228
Good,47.3080295805,-122.5347763786
Good,47.3093938994,-122.5341232773
Good,47.3079091955,-122.5351632528
Good,47.3078167435,-122.5355608661
Good,47.3079109099,-122.5352029776
Good,47.307911421,-122.5351918751
Good,47.3079314583,-122.5353966648
Good,47.3076328767,-122.5354427134
Good,47.3077663369,-122.5350437127
Good,47.3078757386,-122.5356704833
Good,47.3076628181,-122.5351768534
Good,47.3076171963,-122.5352624263
Good,47.307700699,-122.5358294121
Good,47.3077256285,-122.5355387179
Good,47.3076217705,-122.5353699217
Good,47.3077094533,-122.5353429731
Good,47.3076678621,-122.5357210548
Good,47.3074049268,-122.5350706009
Good,47.3075427903,-122.5353635081
Good,47.3077838786,-122.5356620711
Good,47.3073271524,-122.5352548363
Good,47.3074761737,-122.5352845669
Good,47.3116088116,-122.5364206892
Good,47.3118832506,-122.5369967104
Good,47.3119776246,-122.5367047159
Good,47.3121142765,-122.5375444256
Good,47.3117361531,-122.5366418402
Good,47.3121500316,-122.5376991892
Good,47.3120394634,-122.5381462236
Good,47.3121086112,-122.5383012183
Good,47.3122540546,-122.5379358936
Good,47.3125432593,-122.5383422829
Good,47.3121024547,-122.5383879285
Good,47.3120841312,-122.5384859777
Good,47.3122321224,-122.5383672551
Good,47.3120313881,-122.5386704887
Good,47.3121490035,-122.5385990181
Good,47.3119816128,-122.5387595253
Good,47.3121826751,-122.5383005305
Good,47.3117977791,-122.5388128066
Good,47.3152368513,-122.5430412594
Good,47.3103695117,-122.5338764233
Good,47.3103174831,-122.5338164147
Good,47.3100905906,-122.5338007036
Good,47.3103257779,-122.5336332098
Good,47.3105276782,-122.5340329603
Good,47.3104332484,-122.5337429319
Good,47.3125545817,-122.5384074184
Good,47.3154066764,-122.54320186
Good,47.3152971802,-122.5431216588
Good,47.3123079974,-122.5389794346
Good,47.3157375549,-122.5435591102
Good,47.3158488031,-122.5441950156
Good,47.3153082373,-122.543067641
Good,47.3159368576,-122.5439731862
Good,47.3160314081,-122.5438746098
Good,47.3161562644,-122.5443409467
Good,47.3156830724,-122.543593507
Good,47.3159897917,-122.5445097281
Good,47.3169351224,-122.5467613755
Good,47.3160462828,-122.5446297128
Good,47.3168501379,-122.5466026904
Good,47.3028608831,-122.5280610939
Good,47.3098083372,-122.5367775481
Good,47.31006889,-122.5375267345
Good,47.3101230713,-122.5376403615
Good,47.3101915852,-122.5377182788
Good,47.3099887823,-122.5378009859
Good,47.3099496682,-122.5370125474
Good,47.3100894364,-122.5371659362
Good,47.3099809233,-122.5374046417
Good,47.3140609926,-122.5385761307
Good,47.3102502068,-122.5377357277
Good,47.3139969926,-122.5388878696
Good,47.31411976,-122.5389503629
Good,47.3141146476,-122.5386799611
Good,47.3144964085,-122.5389830687
Good,47.3146547445,-122.5384145456
Good,47.3143819692,-122.5385797845
Good,47.3145675052,-122.5387676153
Good,47.3149135983,-122.5383135211
Good,47.315462492,-122.5380181994
Good,47.3148101742,-122.5384049485
Good,47.3156585138,-122.5395175005
Good,47.3147066526,-122.5389190948
Good,47.3150636737,-122.5390489509
Good,47.30308,-122.5279533333
Good,47.302505,-122.528245
Good,47.3154291639,-122.5381532698
Good,47.3175864111,-122.5433691503
Good,47.317453793,-122.5430526986
Good,47.3173772271,-122.54305576
Good,47.317581184,-122.5435954947
Good,47.31690305,-122.5438410338
Good,47.3169967085,-122.5436805462
Good,47.3171197269,-122.5440766066
